onset	trial_type	obj_pair	reaction_time
40	catch	2	929.9432999978308
58	catch	9	600.4389000008814
72	catch	14	487.345399975311
120	catch	10	548.7510999955703
162	catch	13	626.649499987252
170	catch	16	545.9649999975227
188	catch	11	497.18740000389516
208	catch	11	519.8517000244465
236	catch	15	510.99390001036227
242	catch	15	502.4924000026658
246	catch	1	557.9950000101235
302	catch	12	515.3480999870226
312	catch	5	642.6355000003241
322	catch	8	833.8357000029646
330	catch	2	425.54050000035204
336	catch	6	553.2788999844342
