onset	trial_type	obj_pair	reaction_time
40	catch	2	594.5868999988306
58	catch	9	457.2294999961741
72	catch	14	559.9365000089165
120	catch	10	542.3253999906592
162	catch	13	555.3160000126809
170	catch	16	482.6355999975931
188	catch	11	521.7217999743298
208	catch	11	415.9547000017483
236	catch	15	518.8412000134122
242	catch	15	534.5615000114776
246	catch	1	510.2359000011347
302	catch	12	731.2961000134237
312	catch	5	458.26849999139085
322	catch	8	514.2212999926414
330	catch	2	553.3512999827508
336	catch	6	481.2071000051219
